season,week,n_active,n_eliminated,eliminated_names,feasible,n_samples,margin_mean,margin_p05,margin_p50,predicted_eliminated_names,actual_eliminated_names,match
21,6,9,1,Paula Deen,True,2000,0.0310647623407486,0.0029390262911354,0.0287026619132825,Paula Deen,Paula Deen,True
21,7,8,1,Hayes Grier,True,2000,0.0171996233466739,0.0009497768217648,0.012570672567415,Hayes Grier,Hayes Grier,True
21,8,7,1,Andy Grammer,True,2000,0.0291858995347791,0.0021875198619169,0.0224697216470142,Andy Grammer,Andy Grammer,True
21,9,6,2,Alexa PenaVega;Tamar Braxton,True,2000,0.0398085813102602,0.0024380117098056,0.0292856394348689,Tamar Braxton;Alexa PenaVega,Alexa PenaVega;Tamar Braxton,True
21,10,4,0,,True,2000,,,,,,NA
21,11,4,0,,True,2000,,,,,,NA
22,1,12,0,,True,2000,,,,,,NA
22,2,12,1,Geraldo Rivera,True,2000,0.0196727577969359,0.0015198814270265,0.0184843582469654,Geraldo Rivera,Geraldo Rivera,True
22,3,11,1,Mischa Barton,True,2000,0.0161459107231448,0.0017217586292854,0.0140104172815065,Mischa Barton,Mischa Barton,True
22,4,10,1,Marla Maples,True,2000,0.016378853572745,0.0013322592228691,0.0139673959985257,Marla Maples,Marla Maples,True
22,5,9,0,,True,2000,,,,,,NA
22,6,9,1,Doug Flutie,True,2000,0.0214634320017079,0.0020663060845153,0.0178212114430201,Doug Flutie,Doug Flutie,True
22,7,8,2,Kim Fields;Von Miller,True,2000,0.0240496665286229,0.0015206227675964,0.0176724081166065,Kim Fields;Von Miller,Kim Fields;Von Miller,True
22,8,6,1,Jodie Sweetin,True,2000,0.031474435171068,0.0016428568290108,0.0246768691035382,Jodie Sweetin,Jodie Sweetin,True
22,9,5,2,Antonio Brown;Wanya Morris,True,2000,0.0683106780706465,0.0044705822237253,0.0572842225708331,Antonio Brown;Wanya Morris,Antonio Brown;Wanya Morris,True
22,10,3,0,,True,2000,,,,,,NA
23,1,13,0,,True,2000,,,,,,NA
23,2,13,1,Jake T. Austin,True,2000,0.0105433549070527,0.0007927815534702,0.0089584273638148,Jake T. Austin,Jake T. Austin,True
23,3,12,1,Rick Perry,True,2000,0.0134959556590473,0.0014560366254481,0.0115842865502035,Rick Perry,Rick Perry,True
23,4,11,2,Babyface;Vanilla Ice,True,2000,0.0112632990009094,0.000761030055088,0.008322217323586,Babyface;Vanilla Ice,Babyface;Vanilla Ice,True
23,5,9,0,,True,2000,,,,,,NA
23,6,9,1,Amber Rose,True,2000,0.0228181808125956,0.0021376847245746,0.0200495625854537,Amber Rose,Amber Rose,True
23,7,8,1,Maureen McCormick,True,2000,0.0187779893122289,0.0011283310263807,0.0147244652567234,Maureen McCormick,Maureen McCormick,True
23,8,7,1,Ryan Lochte,True,2000,0.0304741949634057,0.0025334883722446,0.0253656673180033,Ryan Lochte,Ryan Lochte,True
23,9,6,1,Marilu Henner,True,2000,0.0341996921789554,0.0026787577551398,0.025870187757811,Marilu Henner,Marilu Henner,True
23,10,5,1,Terra Jole,True,2000,0.0499762892822049,0.0034492577319722,0.0410866622090734,Terra Jole,Terra Jole,True
23,11,4,0,,True,2000,,,,,,NA
24,1,12,0,,True,2000,,,,,,NA
24,2,12,1,Chris Kattan,True,2000,0.0154187245747917,0.0013392397005018,0.0129467320093727,Chris Kattan,Chris Kattan,True
24,3,11,1,Charo,True,2000,0.0148705473042824,0.0011184845491795,0.0126055203994432,Charo,Charo,True
24,4,10,1,Mr. T,True,2000,0.0176459710535934,0.0012934420913691,0.0143557198109762,Mr. T,Mr. T,True
24,5,9,1,Erika Jayne,True,2000,0.0155221506264658,0.0010385321043915,0.0122431168126066,Erika Jayne,Erika Jayne,True
24,6,8,1,Heather Morris,True,2000,0.0153797024532083,0.0012546015894644,0.011623272643771,Heather Morris,Heather Morris,True
24,7,7,2,Nancy Kerrigan;Nick Viall,True,2000,0.0321030009221362,0.0021819702777906,0.0255940626956182,Nick Viall;Nancy Kerrigan,Nancy Kerrigan;Nick Viall,True
